group_index,group_type,alice_label,bob_label,batch_size,n_qubits,status,latency_s,session_id,n_delivered,n_sifted,qber,key_final,error_message,progress_pct,phase_label,loss_rate,interceptor_label,retry_enabled,qkdl_url,intercepted,run_type,group_wall_time_s,timestamp
1,same_index,alice-2,bob-2,10,32,done,2.729,bf14944e-61ac-40bb-a725-b8d1f87db277,32,18,0.0,110111010110010,,100.0,Key generated,0.0,,False,http://localhost:8013,False,concurrent,8.662,2026-05-22T19:38:57.743942
1,same_index,alice-3,bob-3,10,32,done,7.86,3aff8777-2e91-4550-b107-ab02ad5248e0,32,16,0.0,0100110101101,,100.0,Key generated,0.0,,False,http://localhost:8003,False,concurrent,8.662,2026-05-22T19:38:57.744022
1,same_index,alice-1,bob-1,10,32,done,7.46,d7246d9a-4ed4-468d-9d95-1a727205e1cb,32,23,0.0,1010001111110000010,,100.0,Key generated,0.0,,False,http://localhost:8023,False,concurrent,8.662,2026-05-22T19:38:57.744055
2,cross_1,alice-2,bob-3,10,32,start_error,,,,,,,"Client error '409 Conflict' for url 'http://localhost:8102/start?receiver_label=bob-3&n_qubits=32&batch_size=10&loss_rate=0.0&retry_enabled=false'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/409",,,0.0,,False,,False,concurrent,8.228,2026-05-22T19:39:09.974102
2,cross_1,alice-3,bob-1,10,32,done,3.119,7c2e1043-b49f-4024-b793-f349bf714fce,32,19,0.0,0100111010001111,,100.0,Key generated,0.0,,False,http://localhost:8013,False,concurrent,8.228,2026-05-22T19:39:09.974137
2,cross_1,alice-1,bob-2,10,32,done,6.75,34fd4a8a-c96e-45ee-a68b-c7261dd33071,32,13,0.0,11011000001,,100.0,Key generated,0.0,,False,http://localhost:8003,False,concurrent,8.228,2026-05-22T19:39:09.974156
3,cross_2,alice-2,bob-1,10,32,done,3.476,e75403fa-9db6-4b3b-a6ed-18667179fdf0,32,18,0.0,000010000100010,,100.0,Key generated,0.0,,False,http://localhost:8013,False,concurrent,8.287,2026-05-22T19:39:22.262728
3,cross_2,alice-3,bob-2,10,32,done,3.987,8ee8e515-ee57-4e5e-a337-ee8ce54d181c,32,16,0.0,1110010101110,,100.0,Key generated,0.0,,False,http://localhost:8023,False,concurrent,8.287,2026-05-22T19:39:22.262759
3,cross_2,alice-1,bob-3,10,32,done,6.931,307a7e54-2b31-4fae-b8ed-23ced37f1c7c,32,16,0.0,1011000010110,,100.0,Key generated,0.0,,False,http://localhost:8003,False,concurrent,8.287,2026-05-22T19:39:22.262774
4,same_index,alice-2,bob-2,10,64,done,5.762,ee6451d9-a09c-49a3-a6c8-a49af400fc67,64,26,0.0,010111010001000000011,,100.0,Key generated,0.0,,False,http://localhost:8023,False,concurrent,14.358,2026-05-22T19:39:40.622403
4,same_index,alice-3,bob-3,10,64,done,7.103,d787703e-43bc-4b0a-9611-48131e1c45b7,64,33,0.0,101111011101011111111001100,,100.0,Key generated,0.0,,False,http://localhost:8013,False,concurrent,14.358,2026-05-22T19:39:40.622431
4,same_index,alice-1,bob-1,10,64,done,14.046,102fdd55-31a7-4519-a2c3-231d3a4f2669,64,32,0.0,00100101001010111110001000,,100.0,Key generated,0.0,,False,http://localhost:8003,False,concurrent,14.358,2026-05-22T19:39:40.622443
5,cross_1,alice-1,bob-2,10,64,done,4.887,faf48446-c16f-4ac3-8421-9c4a46ba4850,64,35,0.0,1111101100100110110111100111,,100.0,Key generated,0.0,,False,http://localhost:8023,False,concurrent,14.375,2026-05-22T19:39:58.998920
5,cross_1,alice-2,bob-3,10,64,done,7.468,6bc38fb3-1529-421c-b04f-f096f8223a04,64,29,0.0,101011100110110111001111,,100.0,Key generated,0.0,,False,http://localhost:8013,False,concurrent,14.375,2026-05-22T19:39:58.998978
5,cross_1,alice-3,bob-1,10,64,done,13.368,fcc25f8a-d886-444a-9663-7c407e38beb2,64,28,0.0,00011110000100001100110,,100.0,Key generated,0.0,,False,http://localhost:8003,False,concurrent,14.375,2026-05-22T19:39:58.999007
6,cross_2,alice-1,bob-3,10,64,done,5.915,ed21f1f9-aa4b-40a6-a301-a925b320fbb9,64,34,0.0,0101100101011001000111111010,,100.0,Key generated,0.0,,False,http://localhost:8023,False,concurrent,14.354,2026-05-22T19:40:17.354601
6,cross_2,alice-2,bob-1,10,64,done,5.118,6a07f9f4-2020-42ac-8c45-c5c37fa213fc,64,36,0.0,01111100101001101010111001111,,100.0,Key generated,0.0,,False,http://localhost:8013,False,concurrent,14.354,2026-05-22T19:40:17.354647
6,cross_2,alice-3,bob-2,10,64,done,13.854,ffb2f682-79c4-490e-9441-baf5ba65390e,64,34,0.0,0010101001111100000101100101,,100.0,Key generated,0.0,,False,http://localhost:8003,False,concurrent,14.354,2026-05-22T19:40:17.354667
7,same_index,alice-1,bob-1,20,64,done,7.012,02e64966-589b-4006-9fd6-5333257eedc8,64,32,0.0,00001101100100100100010110,,100.0,Key generated,0.0,,False,http://localhost:8013,False,concurrent,14.47,2026-05-22T19:40:35.826323
7,same_index,alice-3,bob-3,20,64,done,6.906,216e07a4-9370-4bb2-8f1e-ee4be30a28af,64,32,0.0,00110000010100110110011001,,100.0,Key generated,0.0,,False,http://localhost:8023,False,concurrent,14.47,2026-05-22T19:40:35.826353
7,same_index,alice-2,bob-2,20,64,done,13.144,d37b0f5b-e7f6-4582-a2b7-f2a2121c2100,64,38,0.0,0110000010011110110111111101101,,100.0,Key generated,0.0,,False,http://localhost:8003,False,concurrent,14.47,2026-05-22T19:40:35.826365
8,cross_1,alice-3,bob-1,20,64,done,9.587,5540d256-d0f6-4dbe-b28c-f052d285bb05,64,32,0.0,10010011110000111000011001,,100.0,Key generated,0.0,,False,http://localhost:8013,False,concurrent,16.414,2026-05-22T19:40:56.241758
8,cross_1,alice-1,bob-2,20,64,done,8.219,d3a797b9-d9ae-4ff4-b2e2-ea1d76bf0d86,64,27,0.0,1011101101111000001000,,100.0,Key generated,0.0,,False,http://localhost:8023,False,concurrent,16.414,2026-05-22T19:40:56.241803
8,cross_1,alice-2,bob-3,20,64,done,15.927,c21430ad-3579-446c-81c7-e3f323886d94,64,34,0.0,0111000010101011001001110101,,100.0,Key generated,0.0,,False,http://localhost:8003,False,concurrent,16.414,2026-05-22T19:40:56.241823
9,cross_2,alice-1,bob-3,20,64,done,4.526,f213b42b-c09d-4365-a542-96191d1fffd8,64,44,0.0,001110000001110101010010000110111010,,100.0,Key generated,0.0,,False,http://localhost:8023,False,concurrent,14.384,2026-05-22T19:41:14.626959
9,cross_2,alice-2,bob-1,20,64,done,9.728,f89540be-7536-4fdd-b392-764c82004efb,64,35,0.0,0010011110000111110001011101,,100.0,Key generated,0.0,,False,http://localhost:8013,False,concurrent,14.384,2026-05-22T19:41:14.627000
9,cross_2,alice-3,bob-2,20,64,done,13.276,dec3edc7-0382-4707-a8ea-bde28abb19b7,64,34,0.0,1000011010000100110011111010,,100.0,Key generated,0.0,,False,http://localhost:8003,False,concurrent,14.384,2026-05-22T19:41:14.627021
10,same_index,alice-2,bob-2,10,128,done,6.259,137c5d5a-bac6-4e5a-9523-a497b02dabdd,128,67,0.07692307692307693,101110010100010100100111100001100101001110011011011000,,100.0,Key generated,0.0,,False,http://localhost:8023,False,concurrent,34.599,2026-05-22T19:41:53.227601
10,same_index,alice-1,bob-1,10,128,done,21.467,578171c3-f26a-43de-b145-d281d7bb1f57,128,65,0.0,1110011000101001001110011101001101110001011011000100,,100.0,Key generated,0.0,,False,http://localhost:8013,False,concurrent,34.599,2026-05-22T19:41:53.227644
10,same_index,alice-3,bob-3,10,128,done,34.202,a4d02999-b25b-4875-8e4b-6d023dde2f86,128,62,0.0,00111000001111011011110001100011010011001110001010,,100.0,Key generated,0.0,,False,http://localhost:8003,False,concurrent,34.599,2026-05-22T19:41:53.227657
11,cross_1,alice-2,bob-3,10,128,done,7.423,ea735fc1-44dd-430e-9809-810ee8b4756b,128,62,0.0,00000000101010111100011110011011001001000001001111,,100.0,Key generated,0.0,,False,http://localhost:8023,False,concurrent,36.817,2026-05-22T19:42:34.046163
11,cross_1,alice-1,bob-2,10,128,done,21.485,bb0b06ef-2430-4f56-8c6e-dae3451f0088,128,57,0.0,1001101001101101101001011100000100000110000010,,100.0,Key generated,0.0,,False,http://localhost:8013,False,concurrent,36.817,2026-05-22T19:42:34.046231
