run_index,pair_id,scenario,run_type,group_index,group_type,alice_label,bob_label,batch_size,n_qubits,status,latency_s,session_id,n_delivered,n_sifted,qber,key_final,error_message,progress_pct,phase_label,loss_rate,interceptor_label,retry_enabled,qkdl_url,intercepted,eve_registered,n_intercepted,basis_match_rate,theoretical_eve_qber,eve_detection_correct,group_wall_time_s,timestamp
1,1,clean,sequential,,,alice-1,bob-1,10,64,done,12.042,be4fdd63-e339-415c-96ae-6b2ae13e3e82,64,33,0.0,001100111101110010010010000,,100.0,Key generated,0.0,,False,http://localhost:8003,False,,,,,,,2026-05-22T22:51:37.186338
2,1,eve,sequential,,,alice-1,bob-1,10,64,aborted,3.45,66d7a241-8e64-4dce-b981-753690eee3a6,64,0,0.375,,QBER_TOO_HIGH,0.0,Session aborted,0.0,eve-1,False,http://localhost:8003,True,True,60,0.5333,0.25,True,,2026-05-22T22:51:46.623608
3,2,clean,sequential,,,alice-1,bob-1,20,64,done,11.096,1c957374-294d-44d9-88d2-c1926bfdf162,64,36,0.0,10001111101111101010010111011,,100.0,Key generated,0.0,,False,http://localhost:8003,False,,,,,,,2026-05-22T22:52:03.193033
4,2,eve,sequential,,,alice-1,bob-1,20,64,aborted,3.227,6def5c8f-a276-4aeb-ac05-73933229eb57,64,0,0.6,,QBER_TOO_HIGH,0.0,Session aborted,0.0,eve-1,False,http://localhost:8003,True,True,64,0.4531,0.25,True,,2026-05-22T22:52:12.689905
5,3,clean,sequential,,,alice-1,bob-1,10,128,done,18.556,1a245ecd-c0e5-40cc-a2d7-b170f81b5049,128,60,0.0,110100101100111110011000001101001011110000100101,,100.0,Key generated,0.0,,False,http://localhost:8003,False,,,,,,,2026-05-22T22:52:37.239899
6,3,eve,sequential,,,alice-1,bob-1,10,128,aborted,2.797,e2d184e9-59d2-4e24-aab7-f1945ce7ecd9,128,0,0.15384615384615385,,QBER_TOO_HIGH,0.0,Session aborted,0.0,eve-1,False,http://localhost:8003,True,True,128,0.5781,0.25,True,,2026-05-22T22:52:46.452849
7,4,clean,sequential,,,alice-1,bob-1,20,128,done,19.003,db64ae3b-d0df-4192-9071-27557a352e74,128,62,0.0,01011110011101110010100100010111011100000001110101,,100.0,Key generated,0.0,,False,http://localhost:8003,False,,,,,,,2026-05-22T22:53:10.857572
8,4,eve,sequential,,,alice-1,bob-1,20,128,done,3.17,748e0357-66c1-4e4e-b54d-ffdad14982a1,128,63,0.0,011100100010101001000110110110100011101110011111101,,100.0,Key generated,0.0,eve-1,False,http://localhost:8003,True,True,127,0.4882,0.25,False,,2026-05-22T22:53:20.055100
9,5,clean,sequential,,,alice-1,bob-1,10,200,done,28.419,83247a59-1e6a-46b3-8843-314fbca32888,200,106,0.0,1111010110110111100110101100010001000010000101111001111000011001110011011101101010100,,100.0,Key generated,0.0,,False,http://localhost:8003,False,,,,,,,2026-05-22T22:53:52.719296
10,5,eve,sequential,,,alice-1,bob-1,10,200,aborted,3.727,7a9a31ff-c7de-493e-b591-0655372094a9,200,0,0.3888888888888889,,QBER_TOO_HIGH,0.0,Session aborted,0.0,eve-1,False,http://localhost:8003,True,True,200,0.42,0.25,True,,2026-05-22T22:54:01.922264
11,6,clean,sequential,,,alice-1,bob-1,20,200,done,28.157,e0ba04a8-7e9a-4e1f-812a-3cbe31940c50,200,94,0.0,1111001101000111101000001001000010001000010010101100101011011010000000001001,,100.0,Key generated,0.0,,False,http://localhost:8003,False,,,,,,,2026-05-22T22:54:34.422088
12,6,eve,sequential,,,alice-1,bob-1,20,200,aborted,3.89,c131daf7-7ab0-4b66-8b1b-5aa95b613d20,200,0,0.2631578947368421,,QBER_TOO_HIGH,0.0,Session aborted,0.0,eve-1,False,http://localhost:8003,True,True,200,0.465,0.25,True,,2026-05-22T22:54:43.617122
13,7,clean,sequential,,,alice-1,bob-1,10,512,timeout,1200.191,e58c2405-06c1-44f7-a1ec-6b27353940e4,0,0,0.0,,,50.0,Quantum transmission,0.0,,False,http://localhost:8003,False,,,,,,,2026-05-22T23:15:00.977793
14,7,eve,sequential,,,alice-1,bob-1,10,512,aborted,156.214,67939543-6e8f-4a03-b611-02ebd47e2a59,0,0,0.0,,QKDL init failed: ,0.0,Session aborted,0.0,eve-1,False,http://localhost:8003,True,False,0,,0.25,False,,2026-05-22T23:17:42.254548
15,8,clean,sequential,,,alice-1,bob-1,20,512,aborted,156.238,0eb16ec0-82fe-4bf7-a083-799495734682,0,0,0.0,,QKDL init failed: ,0.0,Session aborted,0.0,,False,http://localhost:8003,False,,,,,,,2026-05-22T23:20:22.523017
16,8,eve,sequential,,,alice-1,bob-1,20,512,aborted,156.391,eade2a02-6955-4bd8-ad7a-9bebdffa73be,0,0,0.0,,QKDL init failed: ,0.0,Session aborted,0.0,eve-1,False,http://localhost:8003,True,False,0,,0.25,False,,2026-05-22T23:23:03.978282
17,9,clean,sequential,,,alice-1,bob-1,10,1024,aborted,156.288,94169d48-299a-44bb-94f7-8e7dbeb8f947,0,0,0.0,,QKDL init failed: ,0.0,Session aborted,0.0,,False,http://localhost:8003,False,,,,,,,2026-05-22T23:25:44.295945
18,9,eve,sequential,,,alice-1,bob-1,10,1024,aborted,156.398,3df250a7-0358-4b66-80c9-23f0c06a3955,0,0,0.0,,QKDL init failed: ,0.0,Session aborted,0.0,eve-1,False,http://localhost:8003,True,False,0,,0.25,False,,2026-05-22T23:28:25.753605
19,10,clean,sequential,,,alice-1,bob-1,20,1024,aborted,158.112,c6e078e8-0ada-4f8b-aec5-8bae7eed7bf6,0,0,0.0,,QKDL init failed: ,0.0,Session aborted,0.0,,False,http://localhost:8003,False,,,,,,,2026-05-22T23:31:07.899813
20,10,eve,sequential,,,alice-1,bob-1,20,1024,aborted,156.458,a7807f2e-d590-4119-9f87-3787a51d434d,0,0,0.0,,QKDL init failed: ,0.0,Session aborted,0.0,eve-1,False,http://localhost:8003,True,False,0,,0.25,False,,2026-05-22T23:33:49.414933
1,1,clean,sequential,,,alice-1,bob-1,10,64,done,13.579,91c08982-2c00-4cf2-97bf-8d3afc28a0ad,64,30,0.0,000011010000100111010101,,100.0,Key generated,0.0,,False,http://localhost:8003,False,,,,,,,2026-05-23T20:34:12.056010
