session_id,status,alice,bob,n_qubits,n_delivered,n_sifted,qber,key_final,key_status,error_message,elapsed_s,progress_pct,phase_label,qkdl_url,interceptor_label,intercepted
ee6abe0f-771d-4d56-a3e6-2f21085c436a,done,a-1,b-1,32,32,12,0,0010001101,active,,3.3,100,Key generated,http://localhost:8003,,False
f4694579-f783-447e-912f-7751ed9ccb73,done,a-2,b-2,32,32,15,0,011001001101,active,,4.46,100,Key generated,http://localhost:8013,,False
5e13452a-dd3c-4ce9-b6c0-d5213605961f,done,a-3,b-3,32,32,10,0,10110101,active,,7.981,100,Key generated,http://localhost:8023,,False
39f9485e-becb-4a63-a719-1ac6059c2fb2,done,a-4,b-4,32,32,12,0,0011011100,active,,10.39,100,Key generated,http://localhost:8033,,False
eb6c7ab1-4514-432c-9d9f-63cd64d5a61d,done,a-5,b-5,32,32,17,0,10101001001001,active,,12.536,100,Key generated,http://localhost:8043,,False
e90f22ee-6feb-4882-bef4-484094411cca,done,a-6,b-6,32,32,15,0,000000101011,active,,14.493,100,Key generated,http://localhost:8053,,False
9b843535-53f8-4477-b863-f6247faea245,done,a-7,b-7,32,32,13,0,10100101011,active,,15.397,100,Key generated,http://localhost:8063,,False
5700efbc-bc17-4481-818a-e73484f65bee,done,a-8,b-8,32,32,21,0,10111000011100101,active,,18.162,100,Key generated,http://localhost:8073,,False
98a93e7e-73ab-4eeb-8e1a-e7c3be4bec82,done,a-1,b-1,64,64,30,0,100100011111000100101111,active,,4.544,100,Key generated,http://localhost:8003,,False
948ef9c4-8a2b-4b12-a3e2-3be573adfc68,done,a-2,b-2,64,64,28,0,01110110000011101110100,active,,5.759,100,Key generated,http://localhost:8013,,False
9c5877e1-d9fe-4b17-bb72-859257a29e12,done,a-3,b-3,64,64,34,0,0110111010000000011100101011,active,,17.557,100,Key generated,http://localhost:8023,,False
28022254-81e1-4a39-9045-f107c30d056f,done,a-4,b-4,64,64,33,0,101001111000110010000011011,active,,24.841,100,Key generated,http://localhost:8033,,False
b8b632fd-5635-45fc-906f-ca75dbc88653,done,a-5,b-5,64,64,36,0,00111111010100101000110000110,active,,34.709,100,Key generated,http://localhost:8043,,False
b8ee8338-f0ee-4f54-a7a1-290910cfb5e0,done,a-6,b-6,64,64,30,0,011111100000101110100000,active,,43.286,100,Key generated,http://localhost:8053,,False
a6100fdd-2e04-48b1-8d69-45868f1d0397,done,a-7,b-7,64,64,41,0,000000111010011110000001111100110,active,,50.071,100,Key generated,http://localhost:8063,,False
34c47180-7610-4179-af19-cc807c0d153f,done,a-8,b-8,64,64,28,0,00110001111010111111100,active,,59.8,100,Key generated,http://localhost:8073,,False
86d0f1cc-3712-4878-bceb-71f93ff29fde,done,a-1,b-1,128,128,56,0,001101111000101000110111001001011101011010100,active,,14.099,100,Key generated,http://localhost:8003,,false
0d677e2a-072c-4a58-861e-b53909c8558c,done,a-2,b-2,128,128,62,0,00111100001010000110000111001001010101001010111001,active,,37.032,100,Key generated,http://localhost:8013,,false
8cbce7bf-54e4-45ab-a2c7-a034cb99f1e5,done,a-3,b-3,128,128,58,0,01010010101000111110101001111001101010100010100,active,,58.954,100,Key generated,http://localhost:8023,,false
e299d6c7-d13b-4ac4-acb5-39dcffece854,done,a-4,b-4,128,128,66,0,11111101110000001000101100000110110100010000011011010,active,,79.597,100,Key generated,http://localhost:8033,,false
1bb1ff38-4e59-4f9a-ad57-de688330a908,done,a-5,b-5,128,128,64,0,0000101110001011100000011011010000000010111010000100,active,,102.405,100,Key generated,http://localhost:8043,,false
585156e6-f428-49c0-8ed5-5afd51d6718b,done,a-6,b-6,128,128,66,0,00011011100000010001000000101101011010010011010100111,active,,123.458,100,Key generated,http://localhost:8053,,false
841303c1-59e8-4570-be15-ed5d9fb65542,done,a-7,b-7,128,128,61,0,1010110110101010010110001110010001010000101111110,active,,144.2,100,Key generated,http://localhost:8063,,false
949edf68-4014-4fa0-87db-f87aca4dab7f,done,a-8,b-8,128,128,62,0,11000100001110010010101010001100000000101100001111,active,,168.448,100,Key generated,http://localhost:8073,,false
82535960-b0ae-49cc-96f6-5d2f37767e4e,done,a-1,b-1,200,200,97,0,011000101110000000101101101001010011011111000010100111010100010000010111110101,active,,41.101,100,Key generated,http://localhost:8003,,False
1f3a4c54-9095-4453-9758-fb52b65d772e,done,a-2,b-2,200,200,101,0,001110101111111101111100111110110001111001101000111111111100000010110111101010010,active,,78.555,100,Key generated,http://localhost:8013,,False
faefce38-96ea-4c9d-b862-abe1556a8206,done,a-3,b-3,200,200,100,0,01101100010111100100000000100101001100111111110111111100100000000100001110000010,active,,115.354,100,Key generated,http://localhost:8023,,False
530df708-a5ef-484c-b8cd-dc442f4c7423,done,a-4,b-4,200,200,93,0,010000010010011011111101101110000011100001000111011001010111111110100101000,active,,149.723,100,Key generated,http://localhost:8033,,False
b91cba24-470c-47e5-8bc6-e0e01d24ea4c,done,a-5,b-5,200,200,97,0,100101101100011011011110011010101011000011000001110010110101001101101011100101,active,,184.431,100,Key generated,http://localhost:8043,,False
9a55167b-b2f4-4425-820a-4655d17ce9c5,done,a-6,b-6,200,200,108,0,111110111010001010000101000111010101101001100001111111010010001001101100101101101001010,active,,219.409,100,Key generated,http://localhost:8053,,False
9bc0e4d2-3659-4c5d-89fc-3513a498ac47,done,a-7,b-7,200,200,109,0,0010111100111001101001101011000011101001111001010001011011011011001100000110011000001100,active,,254.23,100,Key generated,http://localhost:8063,,False
77906a71-99c5-428a-8441-8c5fd7bfcd5a,done,a-8,b-8,200,200,103,0,11001110010001100000101110001101000001000001000100010010000010111000011010011110000,active,,289.241,100,Key generated,http://localhost:8073,,False
