run_index,alice_label,bob_label,batch_size,n_qubits,status,latency_s,session_id,n_delivered,n_sifted,qber,key_final,error_message,progress_pct,phase_label,loss_rate,interceptor_label,retry_enabled,qkdl_url,intercepted,run_type,timestamp
1,alice-1,bob-1,10,32,done,7.191,50e1b4b4-9192-42dd-a238-22ff918c374a,32,13,0.0,11000100101,,100.0,Key generated,0.0,,False,http://localhost:8003,False,sequential,2026-05-22T14:11:04.177073
2,alice-1,bob-1,10,64,done,13.342,dc340794-22b6-4bec-81ff-e04cfcc44f9e,64,28,0.0,01011101010011101010110,,100.0,Key generated,0.0,,False,http://localhost:8013,False,sequential,2026-05-22T14:11:22.582764
3,alice-1,bob-1,20,64,done,7.727,b37d149f-f4d0-4ea3-802b-ba5201be72ba,64,26,0.0,011001110011101010011,,100.0,Key generated,0.0,,False,http://localhost:8003,False,sequential,2026-05-22T14:11:34.797682
4,alice-1,bob-1,10,128,done,13.607,5bc86127-5c82-4005-80f2-33c2dc0c2a05,128,59,0.09090909090909091,111001100011000110101001100111111100011101110100,,100.0,Key generated,0.0,,False,http://localhost:8013,False,sequential,2026-05-22T14:11:53.089979
5,alice-1,bob-1,20,128,done,9.984,cf387338-9077-4948-801d-2ce3855fe8c2,128,61,0.0,1000000101011111001001111010000011110111111100000,,100.0,Key generated,0.0,,False,http://localhost:8003,False,sequential,2026-05-22T14:12:07.304938
6,alice-1,bob-1,10,200,done,13.758,8cf28066-c236-4248-9542-38916dc911ec,200,93,0.0,110100110100110001111001001000000001011010000011110001001101000111110001110,,100.0,Key generated,0.0,,False,http://localhost:8013,False,sequential,2026-05-22T14:12:25.596678
7,alice-1,bob-1,20,200,done,12.242,a7e54126-700a-437c-981b-30414d996c4f,200,104,0.0,111001100001000101010001110100110111111100011100010001101010011000100000101001000010,,100.0,Key generated,0.0,,False,http://localhost:8003,False,sequential,2026-05-22T14:12:43.874834
8,alice-1,bob-1,10,1024,done,43.022,e55b5b61-6360-4595-b9a4-2c1d1ecb6ec4,1024,525,0.0,000011110000000010000011010001000110001101111111110010110100011001111100100000100001000010010001111010111010111101000100111000001110111101000011101001100000011101011001011011101100001001110100010101001001011000111010100110101000010000001000001100100111010000010110010100100001011110001010111000101100110001100110001100111001101010101000101111110101010000101010100000101111100110101100000000100001101010000110011101101100,,100.0,Key generated,0.0,,False,http://localhost:8003,False,sequential,2026-05-22T14:13:32.612178
9,alice-1,bob-1,20,1024,done,36.65,cbd164b5-d178-4b4a-b62d-0c8174022796,1024,513,0.0,101111111111111000001001101111011001100000010011001110011000000011000011111100001011111111110001100100010011001111011101000001011111011001111010010101100011001011000100010111100111101010111011011010001111101001000100010000010110100101010101111100001000101011001101111001001110011001101110110111000011101011010100010011101100110011111000000001011000100010000011001000010100001110000010110101011111010111011100000,,100.0,Key generated,0.0,,False,http://localhost:8003,False,sequential,2026-05-22T14:14:15.225511
10,alice-1,bob-1,10,2048,done,74.275,68f01e30-83ae-44fc-bec2-3b80a36122d2,2048,1018,0.0,00001111101101111111110100101001110100110111000100100010010000000110100010100101110110100100110111110000011000111010011101001010110100001011111111110100110100010100100101000111011001111100000010001101011011011000110000110110011101101100100101011111001110000000110111101111000000010110101000011100011111100000010110011011001011101010010111100011111001000100001100110110111001001001010000111100100110000000001000010100111101110111100000010101010000100011100001110101100110111100110101001000001100101000010101011100010001000110010111011101011010000010010100110010000000110011000100000000010001101011101000110011011000001000000010000011010110111101001111000101111000010110110000010100000010110100000010100000111000100010111100010100011000001100100011010010010110111111000011111111101010011000011000100001011111110011111,,100.0,Key generated,0.0,,False,http://localhost:8003,False,sequential,2026-05-22T14:15:34.342619
11,alice-1,bob-1,20,2048,done,138.174,1c609d88-40c6-4091-9887-bf8f39901beb,2048,1016,0.0,101100011111110010011111010111001000111001111000010011111110111000010111110100001010101001000110100100001001100010010100101110001001000001100001001101010001001010110000111101110000111001101100101011110010101000111010011100010000111110101101010010010101110101100000100001001101011110010101011000011010100110001100110001001111111000100010100111100101101100011000110110111010001011100100011110010000100001000010111101101111011000111000100111000011111110001000101100010010010100010110111010110000001111010101110000001011000100010110010100101111011111010110011001011110001110110010111110101110111010101000100100100110110000001111100000000110111010001010000010100111011011111100010010011001111101101000010011011110011010111000100000100000111010010000000100100010111010011101101101001111110110011111110100111001111111101,,100.0,Key generated,0.0,,False,http://localhost:8013,False,sequential,2026-05-22T14:17:58.024376
12,alice-1,bob-2,10,32,done,1.938,1e19cc81-3ced-4ead-b373-fb761d512cb8,32,10,0.0,00101000,,100.0,Key generated,0.0,,False,http://localhost:8003,False,sequential,2026-05-22T14:18:04.138251
13,alice-1,bob-2,10,64,done,3.817,09b5b842-237a-42ce-ac17-30863093e588,64,28,0.0,10111010110000110000010,,100.0,Key generated,0.0,,False,http://localhost:8013,False,sequential,2026-05-22T14:18:12.287791
14,alice-1,bob-2,20,64,done,3.392,df7f76b5-b8a6-4ca6-825d-53df40761d30,64,32,0.0,00001110111111110100100110,,100.0,Key generated,0.0,,False,http://localhost:8003,False,sequential,2026-05-22T14:18:20.468763
15,alice-1,bob-2,10,128,done,7.13,c7e172a4-52cb-43c7-adb7-74d7f2b8dafd,128,64,0.0,0101111100000010011011110001101011111011010101011111,,100.0,Key generated,0.0,,False,http://localhost:8013,False,sequential,2026-05-22T14:18:32.650128
16,alice-1,bob-2,20,128,done,6.958,2fdceae1-f67a-4ff1-a990-00dba254ddb2,128,63,0.0,001011101010101101100001010010101110000010010011011,,100.0,Key generated,0.0,,False,http://localhost:8003,False,sequential,2026-05-22T14:18:44.857518
17,alice-1,bob-2,10,200,done,8.516,c12cffb8-679e-4ceb-aef6-394293c1c541,200,105,0.0,110111001101001001010101100010010000011110101010000110101101111101001000011100000110,,100.0,Key generated,0.0,,False,http://localhost:8003,False,sequential,2026-05-22T14:18:59.061400
18,alice-1,bob-2,20,200,done,12.079,d1ef840c-7e42-42cc-a627-b34d745360b3,200,111,0.045454545454545456,11110011011010100011100000001110000100110110110000001111010101100100001110111101010110001,,100.0,Key generated,0.0,,False,http://localhost:8003,False,sequential,2026-05-22T14:19:15.308534
19,alice-1,bob-2,10,1024,done,38.283,391c3111-6e24-4ca8-9aff-8e3844201d8f,1024,508,0.009900990099009901,01010010010100111001001111110111000001000100001010011111001010101001011001001011010110101100010100100100110110100011100010101000101001000010000011001010010111110001011100010000001111100011011011111011101001011000010111110011000100001111011111011111011101110101110011011111011000000001001010101110010001010010001011111101000001011111010100001100111001100110010111110011110011000001001000011101100000110011000,,100.0,Key generated,0.0,,False,http://localhost:8013,False,sequential,2026-05-22T14:19:57.996482
20,alice-1,bob-2,20,1024,done,74.55,81c4a6b2-c7b6-4147-8812-9669e5cb0842,1024,504,0.01,01110101101100001010001001111101101010111101110100001101011110000101111100011001010100101100010111110010000110001110100011011111111010101011100111010110001111110010111101110010110001000111101110010100100010110011111000011011111011110100011000100100110101110001001010010100000111010000101101001111101010110101110001001010010010100010000010000110101110100000111110000110011000100011101101101011110001010101,,100.0,Key generated,0.0,,False,http://localhost:8003,False,sequential,2026-05-22T14:21:17.201258
